Crop,Soil Type,pH,Nitrogen (N) ppm,Potassium (K) ppm,Phosphorus (P) ppm,Season,Duration (Months)
Sunflower,Black Soil,7.05,45.5,53,35.5,Winter Season,6
Sunflower,Black Soil,6.95,44.5,51.5,34.5,Winter Season,6
Sunflower,Black Soil,7.15,47.5,54.5,37.5,Winter Season,6
Sunflower,Black Soil,7.08,46.2,53.2,36.2,Winter Season,6
Sunflower,Black Soil,7.25,48,55,38,Winter Season,6
Sunflower,Black Soil,7.12,47.2,54.2,37.2,Winter Season,6
Chickpea,Alluvial Soil,6.75,60,60,37.5,Monsoon Season,5
Chickpea,Alluvial Soil,6.8,61,61,38,Monsoon Season,5
Chickpea,Alluvial Soil,6.7,59,59,37,Monsoon Season,5
Chickpea,Alluvial Soil,6.85,62,62,38.5,Monsoon Season,5
Chickpea,Alluvial Soil,6.77,60.5,60.5,37.7,Monsoon Season,5
Chickpea,Alluvial Soil,6.73,59.5,59.5,37.2,Monsoon Season,5
Chickpea,Alluvial Soil,6.82,61.2,61.2,38.2,Monsoon Season,5
Chickpea,Alluvial Soil,6.79,60.8,60.8,37.8,Monsoon Season,5
Chickpea,Alluvial Soil,6.88,62.5,62.5,38.8,Monsoon Season,5
Chickpea,Alluvial Soil,6.81,61.5,61.5,38.5,Monsoon Season,5
Soybean,Alluvial Soil,6.75,52.5,52.5,45,Winter Season,6
Soybean,Alluvial Soil,6.8,53,53,46,Winter Season,6
Soybean,Alluvial Soil,6.7,52,52,44,Winter Season,6
Soybean,Alluvial Soil,6.85,54,54,46.5,Winter Season,6
Soybean,Alluvial Soil,6.77,52.8,52.8,45.3,Winter Season,6
Soybean,Alluvial Soil,6.73,52.2,52.2,44.7,Winter Season,6
Soybean,Alluvial Soil,6.82,53.5,53.5,45.8,Winter Season,6
Soybean,Alluvial Soil,6.79,53,53,45.5,Winter Season,6
Soybean,Alluvial Soil,6.88,54.5,54.5,46.8,Winter Season,6
Soybean,Alluvial Soil,6.81,53.2,53.2,46,Winter Season,6
Mustard,Alluvial Soil,6.75,37.5,37.5,52.5,Autumn Season,4
Mustard,Alluvial Soil,6.8,38,38,53,Autumn Season,4
Mustard,Alluvial Soil,6.7,37,37,52,Autumn Season,4
Mustard,Alluvial Soil,6.85,39,39,53.5,Autumn Season,4
Mustard,Alluvial Soil,6.77,37.8,37.8,52.7,Autumn Season,4
Mustard,Alluvial Soil,6.73,37.2,37.2,52.3,Autumn Season,4
Mustard,Alluvial Soil,6.82,38.5,38.5,53.2,Autumn Season,4
Mustard,Alluvial Soil,6.79,38,38,53,Autumn Season,4
Mustard,Alluvial Soil,6.88,39.5,39.5,53.8,Autumn Season,4
Mustard,Alluvial Soil,6.81,38.2,38.2,53.1,Autumn Season,4
Wheat,Arid Soil,7.5,30,28,25,Summer Season,4
Wheat,Arid Soil,7.6,31,29,26,Summer Season,4
Wheat,Arid Soil,7.4,29,27,24,Summer Season,4
Wheat,Arid Soil,7.7,32,30,27,Summer Season,4
Wheat,Arid Soil,7.52,30.5,28.5,25.5,Summer Season,4
Wheat,Arid Soil,7.48,29.8,27.8,24.8,Summer Season,4
Wheat,Arid Soil,7.55,31.2,29.2,26.2,Summer Season,4
Wheat,Arid Soil,7.53,31,29,26,Summer Season,4
Wheat,Arid Soil,7.58,31.5,29.5,26.5,Summer Season,4
Wheat,Arid Soil,7.45,29.5,27.5,24.5,Summer Season,4
Wheat,Red Soil,6.5,42,32,20,Winter Season,6
Wheat,Red Soil,6.4,41,31,19,Winter Season,6
Wheat,Red Soil,6.6,43,33,21,Winter Season,6
Wheat,Red Soil,6.3,40,30,18,Winter Season,6
Wheat,Red Soil,6.7,44,34,22,Winter Season,6
Wheat,Red Soil,6.2,39,29,17,Winter Season,6
Wheat,Red Soil,6.8,45,35,23,Winter Season,6
Wheat,Red Soil,6.1,38,28,16,Winter Season,6
Wheat,Red Soil,6.9,46,36,24,Winter Season,6
Wheat,Red Soil,6,37,27,15,Winter Season,6
Cotton,Alluvial Soil,6.25,45,30,22.5,Summer Season,6
Cotton,Alluvial Soil,6.3,46,31,23,Summer Season,6
Cotton,Alluvial Soil,6.2,44,29,22,Summer Season,6
Cotton,Alluvial Soil,6.28,45.5,30.5,22.7,Summer Season,6
Cotton,Alluvial Soil,6.22,44.5,29.5,22.3,Summer Season,6
Cotton,Alluvial Soil,6.26,45.2,30.2,22.7,Summer Season,6
Cotton,Alluvial Soil,6.24,44.8,29.8,22.3,Summer Season,6
Cotton,Alluvial Soil,6.29,46,31,23.2,Summer Season,6
Cotton,Alluvial Soil,6.23,44.2,29.2,22.5,Summer Season,6
Cotton,Alluvial Soil,6.27,45.8,30.8,23,Summer Season,6
Cotton,Laterite Soil,6.25,37.5,25,17.5,Monsoon Season,5
Cotton,Laterite Soil,6.3,38,26,18,Monsoon Season,5
Cotton,Laterite Soil,6.2,36,24,17,Monsoon Season,5
Cotton,Laterite Soil,6.28,37.8,25.2,17.7,Monsoon Season,5
Cotton,Laterite Soil,6.22,36.5,24.5,17.3,Monsoon Season,5
Cotton,Laterite Soil,6.26,37.2,25.5,17.8,Monsoon Season,5
Cotton,Laterite Soil,6.24,36.8,24.8,17.5,Monsoon Season,5
Cotton,Laterite Soil,6.29,38,26,18.2,Monsoon Season,5
Cotton,Laterite Soil,6.23,36.2,24.2,17.7,Monsoon Season,5
Cotton,Laterite Soil,6.27,37.8,25.3,17.9,Monsoon Season,5
Rice,Alluvial Soil,6.25,100,60,22.5,Summer Season,5
Rice,Alluvial Soil,6.3,102,62,23,Summer Season,5
Rice,Alluvial Soil,6.2,98,58,22,Summer Season,5
Rice,Alluvial Soil,6.28,101,61,22.8,Summer Season,5
Rice,Alluvial Soil,6.22,99,59,22.2,Summer Season,5
Rice,Alluvial Soil,6.26,100.5,60.5,22.7,Summer Season,5
Rice,Alluvial Soil,6.24,99.2,59.2,22.3,Summer Season,5
Rice,Alluvial Soil,6.29,102.5,61.5,23.2,Summer Season,5
Rice,Alluvial Soil,6.23,98.5,58.5,22.5,Summer Season,5
Rice,Alluvial Soil,6.27,101,60.8,22.9,Summer Season,5
Rice,Black Soil,6.75,125,70,27.5,Monsoon Season,5
Rice,Black Soil,6.8,127,72,28,Monsoon Season,5
Rice,Black Soil,6.7,123,68,27,Monsoon Season,5
Rice,Black Soil,6.78,126,71,27.8,Monsoon Season,5
Rice,Black Soil,6.72,124,69,27.2,Monsoon Season,5
Rice,Black Soil,6.76,125.5,70.5,27.7,Monsoon Season,5
Rice,Black Soil,6.74,124.2,69.2,27.3,Monsoon Season,5
Rice,Black Soil,6.79,127.5,72.5,28.2,Monsoon Season,5
Rice,Black Soil,6.73,123.5,68.5,27.5,Monsoon Season,5
Rice,Black Soil,6.77,126,71.2,27.9,Monsoon Season,5
Rice,Laterite Soil,5.5,80,50,17.5,Winter Season,6
Rice,Laterite Soil,5.6,82,52,18,Winter Season,6
Rice,Laterite Soil,5.4,78,48,17,Winter Season,6
Rice,Laterite Soil,5.52,81,51,17.8,Winter Season,6
Rice,Laterite Soil,5.48,79,49,17.2,Winter Season,6
Rice,Laterite Soil,5.54,80.5,50.5,17.7,Winter Season,6
Rice,Laterite Soil,5.56,82,52.2,18.2,Winter Season,6
Rice,Laterite Soil,5.58,83,53,18.5,Winter Season,6
Rice,Laterite Soil,5.62,85,54,19,Winter Season,6
Rice,Laterite Soil,5.66,86,55,19.5,Winter Season,6
